"family","species","lon","lat"
"Malvaceae","Bombax costatum",2.0229,10.196017
"Malvaceae","Bombax costatum",1.45,10.45
"Malvaceae","Bombax costatum",0.35,12.066667
"Malvaceae","Bombax costatum",2.181111,12.834722
"Malvaceae","Bombax costatum",2.313467,11.884233
"Malvaceae","Bombax costatum",2.01055,11.939167
"Malvaceae","Bombax costatum",-3.433333,10.866667
"Malvaceae","Bombax costatum",2.317223,11.679828
"Malvaceae","Bombax costatum",1.458568,10.847061
"Malvaceae","Bombax costatum",2.320266,11.67409
"Malvaceae","Bombax costatum",9.128753,9.905636
"Malvaceae","Bombax costatum",1.94866,11.321233
"Malvaceae","Bombax costatum",1.257201,10.653195
"Malvaceae","Bombax costatum",3.394209,10.04854
"Malvaceae","Bombax costatum",3.382751,10.061088
"Malvaceae","Bombax costatum",3.417814,10.161942
"Malvaceae","Bombax costatum",3.422669,10.269333
"Malvaceae","Bombax costatum",3.381923,10.36433
"Malvaceae","Bombax costatum",3.420907,10.133879
"Malvaceae","Bombax costatum",3.44441,10.29343
"Malvaceae","Bombax costatum",3.354344,10.292836
"Malvaceae","Bombax costatum",3.114521,9.942715
"Malvaceae","Bombax costatum",3.377912,10.450209
"Malvaceae","Bombax costatum",2.6773,7.455
"Malvaceae","Bombax costatum",2.684,6.8786
"Malvaceae","Bombax costatum",2.6838,6.8792
"Malvaceae","Bombax costatum",2.7098,7.4079
"Malvaceae","Bombax costatum",2.7103,7.4074
"Malvaceae","Bombax costatum",2.6854,7.1212
"Malvaceae","Bombax costatum",2.6848,7.1211
"Malvaceae","Bombax costatum",2.6849,7.1214
"Malvaceae","Bombax costatum",2.6852,7.1214
"Malvaceae","Bombax costatum",2.6852,7.1211
"Malvaceae","Bombax costatum",2.7145,6.9685
"Malvaceae","Bombax costatum",2.7163,6.8996
"Malvaceae","Bombax costatum",2.7254,7.4738
"Malvaceae","Bombax costatum",2.7146,6.969
"Malvaceae","Bombax costatum",2.7401,6.9005
"Malvaceae","Bombax costatum",2.74,6.8995
"Malvaceae","Bombax costatum",2.7389,6.8705
