Code,lon,lat
FEUH,120.986459,14.603358
MBY,110.3743742,-7.801792
DISKO,-53.433176,69.826444
KEVO,27.01,69.75
TROM,18.9046915,69.6342445
LAPL,33.058907,67.912056
INEP,33.410422,67.567897
KPABG,34.269398,67.480507
KAND,32.41755,67.133053
AMNH,-18.119229,65.685015
OULU,25.469776,65.012505
ALA,-147.838211,64.858009
AR,40.548128,64.529224
ICEL,-21.906085,64.074234
UME,20.309509,63.818747
TRH,10.33444,63.359322
VOA,21.60273,63.099239
KUO,27.67585,62.883499
JYV,25.74264,62.240391
KVCH,34.26347,62.211479
SASY,129.730423,62.02
PZV,34.3517,61.78653
PTZ,34.309162,61.786034
SYKO,50.84338,61.667297
SYKT,50.84338,61.667297
TMP,23.760851,61.502602
UAAH,-149.823898,61.189232
YSU,69.028474,61.001329
FOR,23.62513,60.815018
JOE,26.560095,60.620209
BABY,-134.895306,60.590764
TUR,22.283367,60.454651
PRV,25.66424,60.396412
BG,5.32611,60.38356
H,24.946493,60.174154
ZCM,-1.150375,60.157804
LE,30.323166,59.971099
SPSU,30.298742,59.941923
LECB,30.299938,59.939632
KFTA,30.314781,59.938156
WIR,30.307882,59.93235
HERZ,30.28998,59.91674
O,10.76813,59.882641
UPS,17.620779,59.849838
MAG,150.785551,59.565073
TALL,24.878889,59.471519
TAM,24.732742,59.43631
ICEB,24.70277,59.427422
S,18.053325,59.368819
SBT,18.053463,59.366982
NLH,6.265147,59.328395
OREB,15.217872,59.274714
SVG,5.725966,58.961296
STS,-3.301142,58.958535
THO,-3.518283,58.595624
TAAM,26.693691,58.392519
TU,26.722181,58.384167
ALAJ,-134.638953,58.38328
EAA,26.672228,58.366361
TAA,26.679469,58.355649
JBCC,-134.413834,58.299358
KMN,7.9755,58.152569
IBIW,38.2491,58.05695
POKM,56.119881,58.021927
PPU,56.25103,58.008591
PERM,56.18618,57.997799
PSK,28.37299,57.831192
GARIN,38.413498,57.781807
GB,11.950286,57.681975
ELN,-3.310541,57.649118
VI,18.293907,57.639568
GU,18.289379,57.639351
USPIY,39.879105,57.630592
FRS,-3.612002,57.609301
NRN,-3.86667,57.583328
YAR,39.854523,57.573414
INV,-4.227836,57.476536
PLES,41.516022,57.456532
UKC,1.067,57.297081
OHN,16.43782,57.25244
AYR,-2.103863,57.167963
ABD,-2.109355,57.166435
TMN,65.554775,57.140487
TNFS,-135.349055,57.057481
RIGB,24.190861,56.973492
IVGU,40.989746,56.970581
RIG,24.096719,56.937404
TVBG,35.870651,56.8941
HBA,24.36874,56.864288
LATV,24.356428,56.863342
UDU,53.218903,56.849876
UFU,60.6167221,56.840992
SVER,60.60701,56.808571
MSE,-2.4656,56.710187
JEL,23.71278,56.650002
SKR,25.122545,56.64571
MARI,47.9000473,56.6354625
YOLA,47.89756,56.620678
EBA,-4.875,56.566666
DUE,-2.96667,56.5
TK,84.880714,56.489868
DEE,-2.971359,56.462513
PTH,-3.426838,56.396851
SLSK,-2.79902,56.338711
STA,-2.816424,56.336795
NNSU,43.805244,56.260429
AAU,10.20032,56.165611
STI,-3.944055,56.11829
KRDY,-3.16667,56.116669
KNL,-3.61667,56.01667
KRAS,92.855736,56.015141
KRSU,92.838631,56.005486
KRF,92.88559,56.001251
FLK,-3.76667,56
NCCBH,-4.58333,56
E,-3.212675,55.964418
GRK,-4.7677,55.950676
EGHF,-3.2,55.950001
EOSTS,-3.31223,55.945541
HUS,23.37583,55.89838
GLLB,-4.29055,55.87447
DAU,26.512421,55.872528
GLAM,-4.291422,55.868444
PSY,-4.4299,55.84499
MOSP,37.648933,55.815189
KAZ,49.126637,55.789131
BRWK,-2,55.783329
HMLN,-4.038612,55.778732
MHA,37.616592,55.754005
MOSM,37.615559,55.75222
MWG,37.615559,55.75222
MW,37.523141,55.70451
MYX,37.522753,55.704261
LD,13.2178,55.6909
C,12.57186,55.68504
KEM,86.084976,55.344479
